BusinessDate,NetAmount_summary
28-01-2023,207.7332
25-04-2023,187.5
20-08-2023,453.7498
05-07-2023,75.8335
11-07-2023,250.8332
09-11-2023,50.625
03-01-2023,87.7499
04-08-2023,182.0834
22-09-2023,195.4166
24-06-2023,111.6667
04-04-2023,144.9583
25-01-2023,103.9
03-02-2023,1037.0834
18-02-2023,122.4582
08-07-2023,102.0832
25-05-2023,156.0415
10-09-2023,69.9999
25-08-2023,5.0
23-06-2023,127.9166
26-11-2023,168.3333
17-11-2023,67.0833
04-08-2023,95.7499
14-04-2023,320.3748
16-03-2023,89.1249
24-02-2023,148.7084
10-03-2023,130.6333
23-02-2023,294.9583
26-05-2023,268.2916
13-07-2023,410.4167
26-09-2023,322.5001
20-05-2023,189.9583
27-10-2023,102.0833
19-02-2023,3.3333
05-07-2023,0.0
10-03-2023,120.8333
19-01-2023,171.3165
18-06-2023,111.2499
25-07-2023,107.7083
22-04-2023,516.6254
29-11-2023,84.9999
16-09-2023,264.5834
07-07-2023,82.9167
20-01-2023,91.25
29-04-2023,313.7081
03-08-2023,27.9167
06-04-2023,195.3749
28-04-2023,177.9165
29-03-2023,240.3749
26-07-2023,181.6667
02-06-2023,10.0
15-10-2023,67.5
18-06-2023,144.0001
11-11-2023,146.25
31-03-2023,107.5
24-06-2023,59.1666
25-08-2023,125.25
21-04-2023,202.4584
01-08-2023,105.8332
23-09-2023,58.7499
28-07-2023,0.0
13-09-2023,50.0
21-11-2023,242.5
04-11-2023,573.7496
10-02-2023,113.3332
12-10-2023,231.6668
16-03-2023,169.1667
29-07-2023,124.9999
04-02-2023,31.4166
22-09-2023,131.6666
09-07-2023,162.0833
06-04-2023,127.6334
16-02-2023,0.0
03-03-2023,161.6249
24-05-2023,315.3334
04-11-2023,187.0833
20-05-2023,78.3332
11-05-2023,66.6668
01-04-2023,132.4998
04-11-2023,170.4166
25-07-2023,333.3333
16-03-2023,157.0832
22-06-2023,259.5415
18-08-2023,200.8332
25-08-2023,171.8751
23-09-2023,150.8332
30-08-2023,72.2915
14-10-2023,124.5833
06-09-2023,88.75
19-07-2023,135.0001
02-03-2023,113.2916
07-07-2023,114.1667
17-06-2023,106.25
22-09-2023,106.6664
14-10-2023,211.6668
28-09-2023,191.2499
30-06-2023,209.9997
03-01-2023,249.9999
27-05-2023,46.6249
15-03-2023,183.75
01-04-2023,114.1668
01-06-2023,63.7499
09-02-2023,287.1498
15-04-2023,15.0
24-05-2023,82.0834
28-04-2023,341.6668
19-05-2023,117.8749
25-11-2023,48.3334
23-09-2023,123.3333
11-03-2023,137.0417
29-01-2023,68.1249
11-02-2023,99.1666
01-07-2023,212.0832
04-02-2023,216.8168
19-05-2023,166.2083
03-08-2023,91.6665
30-09-2023,143.7499
02-06-2023,153.3333
05-05-2023,139.5834
28-10-2023,96.6666
20-04-2023,355.3
24-02-2023,223.2916
28-05-2023,200.4165
06-09-2023,250.8334
29-01-2023,95.8998
12-09-2023,337.4998
04-08-2023,112.9165
23-09-2023,35.6332
02-09-2023,107.3335
18-07-2023,57.9167
26-07-2023,110.2081
27-01-2023,133.8167
04-02-2023,0.0
18-02-2023,182.8749
11-08-2023,172.8333
04-10-2023,107.5
14-11-2023,82.0833
10-06-2023,119.5832
02-06-2023,158.2083
09-09-2023,0.0
27-06-2023,511.2501
10-08-2023,0.0
18-05-2023,76.1666
03-02-2023,35.0001
11-08-2023,134.7919
27-07-2023,81.6667
02-06-2023,271.6665
09-05-2023,120.7918
20-05-2023,139.5834
31-05-2023,329.5414
14-04-2023,265.8333
29-07-2023,36.25
29-03-2023,110.3001
28-04-2023,0.0
18-08-2023,30.4166
26-04-2023,92.4583
06-08-2023,214.7914
23-09-2023,113.125
20-01-2023,154.65
20-05-2023,0.0
20-01-2023,91.3166
15-07-2023,390.8332
07-06-2023,242.8749
20-06-2023,216.6666
01-03-2023,346.2668
28-10-2023,252.0834
04-04-2023,104.9999
29-07-2023,64.1666
01-11-2023,95.8334
21-11-2023,242.5
14-10-2023,230.8332
19-01-2023,202.1498
28-04-2023,70.0
08-04-2023,402.5836
25-02-2023,157.4584
23-06-2023,102.0833
01-03-2023,346.2668
03-03-2023,312.0833
06-09-2023,88.75
11-08-2023,271.0833
24-10-2023,98.75
14-05-2023,160.3001
07-02-2023,231.8
25-11-2023,97.9166
13-01-2023,159.6249
01-10-2023,192.0834
25-10-2023,0.0
05-04-2023,57.8001
06-04-2023,144.8753
21-02-2023,399.5002
13-01-2023,80.6249
24-08-2023,120.0
23-09-2023,960.3332
08-11-2023,275.0
19-11-2023,48.3333
02-06-2023,77.0832
11-03-2023,173.3332
05-07-2023,123.1249
13-08-2023,0.0
01-04-2023,109.1251
23-09-2023,31.25
11-02-2023,55.8334
27-05-2023,166.2083
22-04-2023,141.6665
03-02-2023,105.5666
11-07-2023,263.75
18-06-2023,141.25
10-11-2023,56.975
21-06-2023,75.3
25-11-2023,26.6666
11-02-2023,53.7332
04-02-2023,253.15
02-06-2023,45.8333
19-09-2023,320.8333
10-06-2023,5416.6638
23-05-2023,183.5417
28-01-2023,24.1667
02-06-2023,154.7917
20-01-2023,154.65
14-01-2023,116.25
29-07-2023,23.5417
01-04-2023,188.2916
01-03-2023,159.5834
18-02-2023,143.2915
12-03-2023,91.6249
11-11-2023,130.8333
24-03-2023,125.8334
28-06-2023,224.1666
02-07-2023,165.4164
01-08-2023,96.25
01-11-2023,95.8334
09-05-2023,5.0
24-05-2023,150.5832
30-03-2023,0.0
08-10-2023,254.8335
04-05-2023,108.9166
03-02-2023,162.9667
05-04-2023,270.4165
10-06-2023,112.0833
27-05-2023,498.2916
08-06-2023,105.3749
23-03-2023,579.0001
11-03-2023,72.0001
15-04-2023,0.0
14-04-2023,279.9999
28-05-2023,162.4583
12-07-2023,402.4583
11-03-2023,163.2918
21-01-2023,298.9667
29-07-2023,34.1666
30-06-2023,160.0
20-07-2023,189.1667
28-05-2023,200.4165
17-05-2023,182.0833
28-01-2023,100.9
12-11-2023,106.2499
25-02-2023,168.3333
12-04-2023,220.1667
03-06-2023,93.3
19-05-2023,190.4167
02-02-2023,217.2416
19-05-2023,73.2916
13-01-2023,261.4998
10-10-2023,198.7499
24-06-2023,244.9998
12-07-2023,0.0
26-01-2023,183.9832
29-07-2023,197.0831
17-06-2023,170.3333
25-02-2023,148.2917
23-09-2023,58.7499
17-01-2023,224.6249
07-06-2023,242.8749
23-02-2023,6.6666
11-02-2023,121.0833
12-08-2023,409.0001
09-02-2023,189.65
21-04-2023,221.5832
08-04-2023,61.125
04-11-2023,120.0
28-04-2023,184.5418
25-08-2023,95.4166
14-11-2023,508.3334
20-05-2023,228.7084
07-09-2023,86.25
20-05-2023,100.8334
06-10-2023,281.4583
17-03-2023,81.6666
28-04-2023,422.8334
30-07-2023,116.4584
07-03-2023,289.1252
04-03-2023,265.0
10-03-2023,120.4167
05-09-2023,139.1667
20-04-2023,269.1249
11-07-2023,101.0416
27-06-2023,99.5832
11-08-2023,135.0
24-11-2023,233.75
22-10-2023,79.1666
16-02-2023,204.9582
27-07-2023,0.0
18-06-2023,251.2085
29-09-2023,26.2499
09-06-2023,99.125
04-02-2023,220.4833
17-03-2023,497.8333
17-01-2023,221.0832
13-08-2023,28.75
15-10-2023,53.75
22-07-2023,153.5832
24-01-2023,212.3166
19-03-2023,157.0417
15-07-2023,112.7083
10-03-2023,190.7916
07-10-2023,442.2917
02-07-2023,137.0832
19-01-2023,144.65
01-04-2023,92.875
03-02-2023,162.9667
18-08-2023,62.5
04-06-2023,62.0832
22-08-2023,165.8332
29-07-2023,551.2497
12-04-2023,618.8752
13-01-2023,117.4999
19-08-2023,5.8333
11-02-2023,150.9833
04-04-2023,152.1664
19-08-2023,52.9167
22-04-2023,388.2498
20-10-2023,70.8334
30-04-2023,104.5416
20-10-2023,403.3332
01-04-2023,98.3334
02-06-2023,18.75
07-07-2023,97.7083
25-06-2023,84.1666
15-09-2023,248.7498
29-04-2023,363.2916
29-04-2023,212.9166
19-03-2023,0.0
11-02-2023,135.25
09-06-2023,0.0
15-02-2023,55.8334
08-03-2023,111.6249
15-06-2023,441.6249
04-08-2023,164.5833
25-11-2023,100.8333
11-11-2023,190.8332
02-02-2023,139.2333
22-04-2023,210.4167
04-01-2023,0.0
02-02-2023,217.2416
18-01-2023,216.5415
18-06-2023,141.25
09-06-2023,106.5
16-05-2023,160.0
07-05-2023,100.4166
05-07-2023,142.9167
21-03-2023,140.0
19-07-2023,51.4583
28-01-2023,159.0
18-02-2023,200.3749
15-10-2023,223.7501
24-06-2023,17.5
18-03-2023,152.9165
10-03-2023,153.2916
14-02-2023,114.5833
04-04-2023,152.1664
28-04-2023,249.0
09-03-2023,122.4585
26-11-2023,201.8749
28-06-2023,280.8331
12-05-2023,88.7082
21-05-2023,129.5833
25-08-2023,167.4999
17-05-2023,190.375
08-07-2023,180.4167
11-11-2023,415.8332
07-06-2023,13.3333
29-07-2023,0.0
14-10-2023,123.125
12-08-2023,205.8333
06-04-2023,126.625
07-04-2023,169.5415
02-08-2023,0.0
29-07-2023,20.4167
01-08-2023,0.0
21-04-2023,79.1666
27-10-2023,111.2499
08-09-2023,66.6667
13-10-2023,286.6666
09-06-2023,55.6668
28-07-2023,173.7499
23-09-2023,122.9166
13-05-2023,205.0001
20-04-2023,355.3
22-09-2023,194.1667
05-07-2023,142.9167
25-02-2023,487.3753
24-03-2023,266.1665
17-05-2023,148.75
13-04-2023,178.2916
21-04-2023,174.5831
29-09-2023,141.8748
08-07-2023,439.7916
23-06-2023,176.2499
18-07-2023,191.2499
10-05-2023,122.8749
23-05-2023,0.0
31-03-2023,73.0416
03-05-2023,163.3334
17-11-2023,124.9999
10-06-2023,5416.6638
06-01-2023,249.625
29-07-2023,117.5
13-01-2023,80.6249
09-05-2023,82.0833
23-05-2023,27.7083
08-07-2023,499.5831
03-09-2023,192.0834
02-06-2023,147.0831
17-06-2023,267.0416
19-07-2023,10.0
29-03-2023,138.7083
31-01-2023,219.6332
07-01-2023,132.9581
13-01-2023,159.6249
06-04-2023,153.3334
22-07-2023,215.4165
05-07-2023,144.5832
07-06-2023,186.7915
24-05-2023,124.1666
21-01-2023,284.1333
18-02-2023,182.8749
05-09-2023,154.1666
11-02-2023,331.8999
25-03-2023,39.1666
23-04-2023,222.7501
02-02-2023,186.4166
10-06-2023,5416.6638
16-07-2023,95.4166
06-01-2023,204.9995
23-05-2023,0.0
29-07-2023,197.0831
20-10-2023,140.8333
16-08-2023,17.4999
14-02-2023,150.0001
29-07-2023,168.3332
02-09-2023,174.5833
22-11-2023,53.3334
03-01-2023,234.8332
28-05-2023,13.3333
26-05-2023,174.9999
06-08-2023,42.2915
09-07-2023,73.7499
17-08-2023,542.9166
28-10-2023,154.9999
12-01-2023,157.9167
22-03-2023,200.375
02-06-2023,280.7917
17-05-2023,0.0
08-07-2023,180.4167
24-08-2023,26.6667
14-01-2023,192.2916
03-03-2023,168.7501
21-06-2023,58.7499
12-08-2023,161.6667
20-10-2023,232.9168
26-05-2023,367.4166
29-07-2023,10.0
09-09-2023,249.9998
28-04-2023,341.6668
10-06-2023,5416.6638
20-05-2023,520.3334
03-08-2023,0.0
21-04-2023,208.7082
22-10-2023,139.1667
11-08-2023,3.3333
02-09-2023,626.6664
24-11-2023,233.75
09-09-2023,106.6665
21-05-2023,48.2916
27-05-2023,121.2082
23-09-2023,227.5001
20-01-2023,159.8166
06-08-2023,378.3332
04-06-2023,0.0
28-10-2023,172.7084
30-06-2023,232.0833
28-10-2023,173.3334
21-10-2023,92.0833
06-05-2023,181.25
06-01-2023,249.625
04-08-2023,112.9165
09-03-2023,142.4584
24-06-2023,0.0
