BusinessDate,NetAmount_summary
26-05-2023,52615.6938
26-06-2023,8.3333
26-07-2023,24744.1343
26-09-2023,12590.8331
26-10-2023,8019.1662
26-11-2023,19873.542699999998
27-01-2023,38941.3365
27-04-2023,56692.1147
27-05-2023,74808.8183
27-06-2023,40705.7439
27-07-2023,12628.0733
27-09-2023,23639.0327
27-10-2023,38306.8823
27-11-2023,1167.5
28-01-2023,53580.8685
28-02-2023,16515.794299999998
28-03-2023,13668.7616
28-04-2023,51528.8045
28-05-2023,44031.827
28-06-2023,35337.2837
28-07-2023,32121.8948
28-09-2023,35998.4512
28-10-2023,40411.6588
28-11-2023,50.0
29-01-2023,8285.9167
29-03-2023,70957.7534
29-04-2023,88479.6908
29-06-2023,36338.2074
29-07-2023,63234.8073
29-08-2023,14859.9943
29-09-2023,56881.776
29-10-2023,2388.7483
29-11-2023,11257.496
30-03-2023,45269.8556
30-04-2023,8356.7458
30-05-2023,12791.7449
30-06-2023,72744.6398
30-07-2023,16810.1971
30-08-2023,19046.5782
30-09-2023,38534.996
30-10-2023,894.9984
31-01-2023,27153.0301
31-03-2023,20721.4582
31-05-2023,36149.4442
31-08-2023,58290.1935
31-10-2023,3797.6637
