BusinessDate,CompanyCode,SiteCode,GrossAmount,temp,humidity,precip,snow,holiday,weekend
2023-04-11,C1061,L1098,3494.0,9.4,76.0,5.234,0.0,0,0
2023-04-12,C1061,L1098,5262.5,8.4,74.9,1.822,0.0,0,0
2023-04-13,C1061,L1098,7590.5,9.5,61.8,0.003,0.0,0,0
2023-04-14,C1061,L1098,9219.0,8.3,79.1,12.339,0.0,0,0
2023-04-15,C1061,L1098,11666.0,10.3,77.3,0.808,0.0,0,1
2023-04-16,C1061,L1098,2641.5,12.1,67.9,0.0,0.0,0,1
2023-04-18,C1061,L1098,5765.5,9.8,72.0,0.0,0.0,0,0
2023-04-19,C1061,L1098,7700.0,11.2,68.0,0.0,0.0,0,0
2023-04-20,C1061,L1098,7589.0,9.9,64.0,1.599,0.0,0,0
2023-04-21,C1061,L1098,10403.0,8.9,78.2,1.208,0.0,0,0
2023-04-22,C1061,L1098,13504.0,9.9,71.7,0.0,0.0,0,1
2023-04-23,C1061,L1098,5992.5,11.2,79.6,3.629,0.0,0,1
2023-04-25,C1061,L1098,6786.0,7.6,59.5,0.002,0.0,0,0
2023-04-26,C1061,L1098,8246.5,8.7,61.9,0.0,0.0,0,0
2023-04-27,C1061,L1098,7717.0,10.1,73.0,6.212,0.0,0,0
2023-04-28,C1061,L1098,10619.5,13.9,80.9,0.803,0.0,0,0
2023-04-29,C1061,L1098,11346.5,13.1,67.6,0.0,0.0,0,1
2023-04-30,C1061,L1098,7330.0,13.4,65.5,0.0,0.0,0,1
2023-05-02,C1061,L1098,3328.5,12.1,70.5,0.0,0.0,0,0
2023-05-03,C1061,L1098,1382.0,10.7,66.7,0.0,0.0,0,0
2023-05-04,C1061,L1098,7291.5,13.7,70.1,0.0,0.0,0,0
2023-05-05,C1061,L1098,11495.5,15.4,73.4,3.187,0.0,0,0
2023-05-06,C1061,L1098,6596.5,13.5,88.5,4.818,0.0,0,1
2023-05-07,C1061,L1098,5207.5,15.8,75.0,0.0,0.0,0,1
2023-05-09,C1061,L1098,5281.0,15.0,82.3,10.247,0.0,0,0
2023-05-10,C1061,L1098,8066.0,14.0,77.7,0.426,0.0,0,0
2023-05-11,C1061,L1098,4430.0,13.5,73.2,0.997,0.0,0,0
2023-05-12,C1061,L1098,9428.5,11.8,82.6,0.402,0.0,0,0
2023-05-13,C1061,L1098,11442.5,11.3,82.7,0.0,0.0,0,1
2023-05-14,C1061,L1098,6504.5,14.1,69.3,0.0,0.0,0,1
2023-05-16,C1061,L1098,6316.0,13.0,59.5,0.0,0.0,0,0
2023-05-17,C1061,L1098,4864.5,13.7,66.7,0.0,0.0,0,0
2023-05-18,C1061,L1098,7218.0,14.6,61.4,0.0,0.0,0,0
2023-05-19,C1061,L1098,9994.5,13.7,64.3,0.0,0.0,0,0
2023-05-20,C1061,L1098,10087.5,14.3,60.6,0.0,0.0,0,1
2023-05-21,C1061,L1098,4649.0,14.4,61.2,0.0,0.0,0,1
2023-05-23,C1061,L1098,6104.5,14.0,63.5,0.0,0.0,0,0
2023-05-24,C1061,L1098,816.5,15.8,60.7,0.0,0.0,0,0
2023-05-25,C1061,L1098,15822.5,15.0,63.0,0.0,0.0,0,0
2023-05-26,C1061,L1098,9565.0,14.2,60.5,0.0,0.0,0,0
2023-05-27,C1061,L1098,15960.0,14.6,65.3,0.0,0.0,0,1
2023-05-28,C1061,L1098,7261.0,16.1,55.6,0.0,0.0,0,1
2023-05-30,C1061,L1098,4187.5,13.2,66.3,0.0,0.0,0,0
2023-05-31,C1061,L1098,4571.5,13.9,72.8,0.001,0.0,0,0
2023-06-01,C1061,L1098,6460.0,13.7,68.9,0.0,0.0,0,0
2023-06-02,C1061,L1098,7424.0,13.9,58.7,0.0,0.0,0,0
2023-06-03,C1061,L1098,8136.0,15.0,65.6,0.0,0.0,0,1
2023-06-04,C1061,L1098,5346.0,16.0,60.4,0.0,0.0,0,1
2023-06-06,C1061,L1098,4405.5,13.7,65.4,0.002,0.0,0,0
2023-06-07,C1061,L1098,5920.5,14.8,67.8,0.0,0.0,0,0
2023-06-08,C1061,L1098,6544.0,15.7,63.6,0.0,0.0,0,0
2023-06-09,C1061,L1098,8814.5,18.4,65.8,0.0,0.0,0,0
2023-06-10,C1061,L1098,12464.5,22.2,57.4,0.0,0.0,0,1
2023-06-11,C1061,L1098,3400.5,22.9,55.8,0.027,0.0,0,1
2023-06-13,C1061,L1098,6404.0,22.1,46.2,0.0,0.0,0,0
2023-06-14,C1061,L1098,7761.0,20.8,48.2,0.0,0.0,0,0
2023-06-15,C1061,L1098,5933.5,21.2,52.4,0.0,0.0,0,0
2023-06-16,C1061,L1098,6512.5,21.4,46.4,0.0,0.0,0,0
2023-06-17,C1061,L1098,13018.5,20.4,53.9,0.001,0.0,0,1
2023-06-18,C1061,L1098,5102.5,20.4,75.1,1.225,0.0,0,1
2023-06-20,C1061,L1098,9025.5,20.2,72.0,0.049,0.0,0,0
2023-06-21,C1061,L1098,7892.0,20.8,65.4,10.919,0.0,0,0
2023-06-22,C1061,L1098,8120.5,21.5,61.3,0.0,0.0,0,0
2023-06-23,C1061,L1098,7837.0,22.0,56.4,0.0,0.0,0,0
2023-06-24,C1061,L1098,8918.0,22.2,65.3,0.0,0.0,0,1
2023-06-25,C1061,L1098,5469.5,23.9,53.7,0.0,0.0,0,1
2023-06-27,C1061,L1098,5705.0,19.1,60.3,0.0,0.0,0,0
2023-06-28,C1061,L1098,7613.5,20.8,73.1,0.001,0.0,0,0
2023-06-29,C1061,L1098,9213.0,19.2,69.5,0.444,0.0,0,0
2023-06-30,C1061,L1098,7975.0,17.1,69.5,0.0,0.0,0,0
2023-07-01,C1061,L1098,8888.0,19.4,65.7,0.002,0.0,0,1
2023-07-02,C1061,L1098,6849.0,17.2,55.9,0.0,0.0,0,1
2023-07-04,C1061,L1098,6555.0,15.4,75.5,0.111,0.0,0,0
2023-07-05,C1061,L1098,6524.0,15.8,70.7,0.024,0.0,0,0
2023-07-06,C1061,L1098,10296.0,17.2,59.8,0.198,0.0,0,0
2023-07-07,C1061,L1098,7576.5,21.5,52.7,0.0,0.0,0,0
2023-07-08,C1061,L1098,8748.5,21.7,70.8,0.012,0.0,0,1
2023-07-09,C1061,L1098,4755.5,19.7,69.4,0.0,0.0,0,1
2023-07-11,C1061,L1098,1025.0,19.8,67.3,0.203,0.0,0,0
2023-07-12,C1061,L1098,5279.0,18.2,69.3,0.003,0.0,0,0
2023-07-13,C1061,L1098,8214.0,17.7,71.2,0.22,0.0,0,0
2023-07-14,C1061,L1098,8235.0,16.9,84.2,0.077,0.0,0,0
2023-07-15,C1061,L1098,10421.5,18.2,70.0,7.148,0.0,0,1
2023-07-16,C1061,L1098,4311.5,17.7,63.9,0.005,0.0,0,1
2023-07-18,C1061,L1098,6027.5,18.2,63.8,0.0,0.0,0,0
2023-07-19,C1061,L1098,7854.0,19.0,65.6,0.794,0.0,0,0
2023-07-20,C1061,L1098,8805.31,18.6,55.9,0.198,0.0,0,0
2023-07-21,C1061,L1098,9297.0,15.9,63.5,0.0,0.0,0,0
2023-07-22,C1061,L1098,9139.3,14.8,84.6,6.055,0.0,0,1
